campaignuuid,userid,reqid,eventdate,event,zoneuuid,benefitunit,questionuuid,questionname,answer,questiontype,questionfieldtype,questionoptionselected,questionoptionuuid,questionoptionname,questionoptionsisanswer,year,month,day,hour
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900092,0,2020-08-02T21:34:23.503-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900093,0,2020-08-02T21:34:23.579-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900094,0,2020-08-02T21:34:23.731-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900095,0,2020-08-02T21:34:23.768-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900096,0,2020-08-02T21:34:23.910-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900097,0,2020-08-02T21:34:23.676-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
,1221999900098,0,2020-08-02T21:34:24.000-03:00,campaign-pull-no-fill,5ed147e6-4758-11ea-89ec-0677896605d2,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900099,0,2020-08-02T21:34:24.088-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
,1221999900100,0,2020-08-02T21:34:24.159-03:00,campaign-pull-no-fill,5ed147e6-4758-11ea-89ec-0677896605d2,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900101,0,2020-08-02T21:34:24.202-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900102,0,2020-08-02T21:34:24.272-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900103,0,2020-08-02T21:34:24.252-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900104,0,2020-08-02T21:34:24.342-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900105,0,2020-08-02T21:34:24.388-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900106,0,2020-08-02T21:34:24.394-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900107,0,2020-08-02T21:34:24.233-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
,1221999900108,0,2020-08-02T21:34:24.559-03:00,campaign-pull-no-fill,5ed147e6-4758-11ea-89ec-0677896605d2,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900109,0,2020-08-02T21:34:24.651-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900110,0,2020-08-02T21:34:24.646-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900111,0,2020-08-02T21:34:24.820-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900112,0,2020-08-02T21:34:24.806-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
,1221999900113,0,2020-08-02T21:34:24.892-03:00,campaign-pull-no-fill,5ed147e6-4758-11ea-89ec-0677896605d2,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900114,0,2020-08-02T21:34:25.028-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
,1221999900115,0,2020-08-02T21:34:25.043-03:00,campaign-pull-no-fill,5ed147e6-4758-11ea-89ec-0677896605d2,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900116,0,2020-08-02T21:34:25.255-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900117,0,2020-08-02T21:34:25.231-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900118,0,2020-08-02T21:34:25.239-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900119,0,2020-08-02T21:34:25.285-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900120,0,2020-08-02T21:34:25.392-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900121,0,2020-08-02T21:34:25.431-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900122,0,2020-08-02T21:34:25.402-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
